epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,100,84,53,32,64.9,2760,10801,30,0,9.5,7.7;5.3;6.6;7.4;5.1;5.3;22.9;44.9;9.3;13.2;23.7;44.0;3.8;4.2;1.5;1.5;3.0;3.5;0.9;1.1;3.4;3.4;2.7;3.0,35.82,0.07,0.01,0.74,15.046,0.692,7519.0,124365.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,100,52,60,25,246.0,2745,10801,30,0,9.2,9.4;2.3;4.6;3.6;3.1;2.8;36.9;51.8;10.0;5.4;38.2;43.6;1.3;1.3;0.3;0.3;1.3;0.5;0.8;0.3;0.8;0.5;0.3;0.3,35.86,0.07,0.07,0.17,15.048,0.693,2441.0,439.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,3.1780912356771567,0.11179125792076011,3.2662004745796764,0.04392029280195201,0.00140000,55.5,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,52,68.0,84,53,56.5,60,25,28.5,32,64.9,155.45,246.0,2752.5,10801.0,30.0,0,9.2,9.35,9.5,35.82,35.84,35.86,63.16,0.07,0.07,0.07,18.02,0.01,0.04,0.07,0.17,0.46,0.74,8.475,14.355,15.046,15.05,15.048,15.992,0.692,0.69,0.693,2441.0,4980.0,7519.0,439.0,62402.0,124365.0,4,4.0,4,16,16.0,16,4,16,46.04,6.55
2,1,,,,,,,73,24,45,31,30.0,360,5001,30,0,45.5,52.6;51.1;58.6;58.2;56.2;55.0;76.4;70.0;58.6;60.9;81.9;80.2;41.1;40.5;13.8;15.5;39.9;41.5;12.0;11.2;34.2;32.4;24.9;24.6,38.78,0.07,0.0,1.35,15.497,0.0,341.0,1757.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,100,62,59,25,247.5,2745,10801,30,0,9.5,6.1;1.8;4.4;3.4;2.1;1.8;40.5;45.5;9.5;11.3;34.1;61.8;1.0;0.5;0.3;0.3;0.5;0.8;0.3;0.5;0.3;0.3;0.5;0.3,38.78,0.07,0.09,3.1,15.497,0.0,1562.0,1464.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,2.9351846033987417,0.3407128863500994,2.739198532081222,0.5793818625457503,0.00280000,11.8,,,,,,,,,,,,,,,,,,,,,,73,86.5,100,24,43.0,62,45,52.0,59,25,28.0,31,30.0,138.75,247.5,1552.5,7901.0,30.0,0,9.5,27.5,45.5,38.78,38.78,38.78,63.16,0.07,0.07,0.07,22.08,0.0,0.04,0.09,1.35,2.23,3.1,8.475,17.617,15.497,15.5,15.497,15.992,0.0,0.0,0.0,341.0,951.5,1562.0,1464.0,1610.5,1757.0,4,4.0,4,16,16.0,16,4,16,3.02,6.31
3,1,,,,,,,100,69,47,32,38.0,720,5001,30,0,45.5,54.9;53.4;59.3;57.1;46.7;52.6;80.4;79.9;59.3;60.0;87.0;73.5;35.4;40.9;16.7;15.6;35.4;37.3;15.9;14.3;33.9;34.7;25.1;23.5,38.8,0.07,0.0,2.47,15.497,0.0,341.0,6542.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,100,52,61,25,247.6,2745,10801,30,0,8.7,7.5;1.3;3.9;3.1;0.3;1.5;42.5;32.7;4.4;12.6;44.6;46.3;1.3;2.1;0.0;0.0;0.8;0.3;0.0;0.0;1.0;0.8;0.3;0.5,38.8,0.07,0.0,2.68,15.497,0.0,1123.0,16406.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,2.2152934902799015,0.6177941714687583,1.2780184715731737,0.8393249288328589,0.00420000,11.9,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,52,60.5,69,47,54.0,61,25,28.5,32,38.0,142.8,247.6,1732.5,7901.0,30.0,0,8.7,27.1,45.5,38.8,38.8,38.8,63.16,0.07,0.07,0.07,22.08,0.0,0.0,0.0,2.47,2.58,2.68,8.475,17.617,15.497,15.5,15.497,15.992,0.0,0.0,0.0,341.0,732.0,1123.0,6542.0,11474.0,16406.0,4,4.0,4,16,16.0,16,4,16,2.99,6.39
4,1,,,,,,,100,86,42,34,15.6,2565,10801,30,0,12.3,9.2;8.6;10.9;11.6;9.0;9.4;21.3;52.7;14.8;18.3;24.2;48.9;6.6;7.0;2.8;2.7;6.0;6.1;2.0;2.1;5.5;5.5;4.3;5.3,35.8,0.07,0.09,1.71,13.958,0.692,585.0,48.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
