epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,98,94,47,26,15.5,210,405,30,0,8.7,7.6;4.7;6.8;7.0;5.0;5.0;25.7;40.1;10.5;12.5;27.9;38.4;3.6;3.5;0.3;0.3;2.2;2.6;0.3;0.3;1.4;1.5;0.8;0.6,37.27,0.07,0.02,0.29,11.136,0.0,781.0,1464.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,98,69,61,26,230.1,2745,10801,30,0,6.6,3.2;1.2;1.2;2.7;0.6;0.9;28.9;35.1;5.6;6.8;18.5;52.8;0.0;0.0;0.0;0.0;0.0;0.9;0.0;0.0;0.3;0.3;0.3;0.3,37.29,0.07,0.04,0.23,11.146,0.0,1416.0,1513.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,2.6341711932102454,0.31006322255631547,2.3634547860799837,0.4497356649044327,0.00100000,62.1,,,,,,,,,,,,,,,,,,,,,,98,98.0,98,69,81.5,94,47,54.0,61,26,26.0,26,15.5,122.8,230.1,1477.5,5603.0,30.0,0,6.6,7.65,8.7,37.27,37.28,37.29,63.16,0.07,0.07,0.07,17.08,0.02,0.03,0.04,0.23,0.26,0.29,10.004,14.332,11.136,11.14,11.146,15.992,0.0,0.0,0.0,781.0,1098.5,1416.0,1464.0,1488.5,1513.0,4,4.0,4,16,16.0,16,4,16,48.17,5.77
2,1,,,,,,,0,0,49,32,29.5,270,5001,30,0,40.6,55.7;55.9;59.7;60.3;56.0;57.0;74.6;79.8;59.4;60.5;68.5;66.8;45.1;48.7;4.2;3.2;26.2;37.8;2.9;3.2;14.9;17.7;6.9;7.0,37.45,0.07,0.04,0.6,9.643,0.0,1171.0,97.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,98,74,61,22,229.5,2745,10801,30,0,6.9,3.8;1.2;0.6;2.6;2.3;1.5;25.5;35.7;8.7;7.4;50.9;18.5;0.3;1.5;0.0;0.6;1.2;0.6;0.9;0.0;0.6;0.6;0.9;0.3,37.43,0.07,0.12,4.27,9.64,0.0,341.0,390.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,1.3654761604465833,0.766055012953089,0.7353250830917156,0.9005286701911346,0.00100000,17.5,,,,,,,,,,,,,,,,,,,,,,0,49.0,98,0,37.0,74,49,55.0,61,22,27.0,32,29.5,129.5,229.5,1507.5,7901.0,30.0,0,6.9,23.75,40.6,37.43,37.44,37.45,63.16,0.07,0.07,0.07,17.08,0.04,0.08,0.12,0.6,2.43,4.27,10.004,14.332,9.64,9.64,9.643,15.992,0.0,0.0,0.0,341.0,756.0,1171.0,97.0,243.5,390.0,4,4.0,4,16,16.0,16,4,16,3.62,5.6
3,1,,,,,,,100,55,57,28,84.8,2760,10801,30,0,40.4,55.9;55.7;60.5;59.5;57.7;57.8;68.8;73.8;59.5;62.1;71.1;80.3;42.9;47.9;3.3;4.4;25.2;37.6;1.5;1.8;13.7;17.0;5.5;5.5,37.44,0.07,0.01,3.56,9.645,0.0,48.0,1367.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,100,65,60,23,230.9,2745,10801,30,0,5.9,4.1;0.3;1.5;1.8;0.9;0.6;18.1;41.2;2.1;3.8;39.5;26.1;0.3;0.6;0.0;0.0;0.3;0.3;0.0;0.0;0.0;0.3;0.0;0.0,37.43,0.07,0.17,4.03,9.648,0.0,341.0,390.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,0.9207398049791987,0.8573222628077705,0.5717539155129351,0.932452216348109,0.00100000,17.3,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,55,60.0,65,57,58.5,60,23,25.5,28,84.8,157.85,230.9,2752.5,10801.0,30.0,0,5.9,23.15,40.4,37.43,37.44,37.44,63.16,0.07,0.07,0.07,17.08,0.01,0.09,0.17,3.56,3.79,4.03,10.004,14.332,9.645,9.65,9.648,15.992,0.0,0.0,0.0,48.0,194.5,341.0,390.0,878.5,1367.0,4,4.0,4,16,16.0,16,4,16,3.53,5.68
4,1,,,,,,,100,28,50,27,33.0,300,5001,30,0,40.4,54.0;54.2;59.5;60.5;57.8;57.6;72.0;74.1;58.8;60.7;73.6;71.5;47.0;47.8;3.6;3.1;27.7;37.7;1.9;1.8;14.0;17.6;6.5;7.1,37.45,0.07,0.01,3.34,9.641,0.0,1660.0,146.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
