epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,100,81,53,26,26.3,2565,10801,30,0,9.0,7.6;5.4;7.6;7.5;5.6;5.7;28.4;45.0;10.9;12.6;24.9;35.4;4.4;4.5;0.3;0.4;2.2;3.2;0.2;0.2;1.1;1.7;0.8;1.0,37.83,0.08,0.02,0.31,12.72,0.0,1123.0,1513.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,100,77,59,24,230.7,2745,10801,30,0,6.4,4.0;1.3;2.0;1.5;1.0;0.0;31.7;34.8;3.3;2.8;24.0;45.3;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0,37.85,0.08,0.02,0.12,12.726,0.0,537.0,97.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,2.596705475270041,0.3365065529371478,2.3757321661615474,0.4776840842536076,0.00100000,64.2,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,77,79.0,81,53,56.0,59,24,25.0,26,26.3,128.5,230.7,2655.0,10801.0,30.0,0,6.4,7.7,9.0,37.83,37.84,37.85,63.16,0.08,0.08,0.08,19.05,0.02,0.02,0.02,0.12,0.21,0.31,10.004,14.332,12.72,12.72,12.726,15.992,0.0,0.0,0.0,537.0,830.0,1123.0,97.0,805.0,1513.0,4,4.0,4,16,16.0,16,4,16,48.19,6.7
2,1,,,,,,,100,41,50,25,32.1,225,5001,30,0,40.5,53.5;55.1;60.2;59.5;56.6;57.7;76.4;77.5;58.9;61.1;69.3;68.4;46.6;47.9;4.1;2.1;27.4;38.5;2.7;2.9;14.4;17.0;5.7;7.4,38.04,0.08,0.0,0.9,11.721,0.0,341.0,97.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,100,69,60,22,232.1,2745,10801,30,0,6.6,2.8;0.5;3.6;3.3;2.1;0.5;25.7;31.4;5.7;5.2;38.9;33.5;0.5;0.8;0.0;0.5;0.5;0.8;0.8;0.3;0.3;0.3;0.5;0.0,38.02,0.08,0.0,3.3,11.716,0.0,1416.0,1464.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,1.2790634020655969,0.817320922703359,0.633232137930863,0.9543802702607346,0.00100000,19.8,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,41,55.0,69,50,55.0,60,22,23.5,25,32.1,132.1,232.1,1485.0,7901.0,30.0,0,6.6,23.55,40.5,38.02,38.03,38.04,63.16,0.08,0.08,0.08,19.05,0.0,0.0,0.0,0.9,2.1,3.3,10.004,14.332,11.716,11.72,11.721,15.992,0.0,0.0,0.0,341.0,878.5,1416.0,97.0,780.5,1464.0,4,4.0,4,16,16.0,16,4,16,4.11,6.49
3,1,,,,,,,100,36,50,26,34.6,240,5001,30,0,40.5,56.0;53.2;58.6;60.0;57.8;57.6;76.7;69.1;59.6;61.4;72.1;74.0;47.3;46.4;3.7;3.8;28.3;36.4;2.1;2.0;15.8;14.0;7.2;7.7,38.04,0.08,0.0,3.21,11.723,0.0,341.0,1464.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,100,70,61,24,232.6,2745,10801,30,0,6.1,2.0;0.3;1.3;1.5;0.5;0.3;24.2;37.5;4.6;3.1;42.8;26.7;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,38.03,0.08,0.0,3.98,11.727,0.0,1464.0,2685.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,0.7942979113802467,0.9171372536811631,0.47276997053307335,0.9756200825600677,0.00100000,20.1,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,36,53.0,70,50,55.5,61,24,25.0,26,34.6,133.6,232.6,1492.5,7901.0,30.0,0,6.1,23.3,40.5,38.03,38.03,38.04,63.16,0.08,0.08,0.08,19.05,0.0,0.0,0.0,3.21,3.59,3.98,10.004,14.332,11.723,11.73,11.727,15.992,0.0,0.0,0.0,341.0,902.5,1464.0,1464.0,2074.5,2685.0,4,4.0,4,16,16.0,16,4,16,4.15,6.54
4,1,,,,,,,100,42,51,27,32.6,240,5001,30,0,40.3,52.7;54.2;59.7;59.4;56.3;56.7;69.8;74.1;60.1;62.0;67.0;78.1;43.4;46.3;3.7;3.7;30.3;32.8;2.9;2.7;17.6;15.8;8.9;9.9,38.05,0.08,0.0,2.98,11.723,0.0,1806.0,48.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,,,,,,,100,58,62,23,233.0,2745,10801,30,0,6.6,2.1;1.8;3.6;2.8;1.0;1.8;23.5;36.5;4.1;4.9;33.7;40.1;0.3;0.5;0.5;0.0;0.5;0.3;0.0;0.3;0.0;0.3;0.3;0.3,38.03,0.08,0.02,4.05,11.718,0.0,927.0,292.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,summary,0.6527372383916972,0.9382311739252249,0.4426489223964683,0.9775253148925661,0.00100000,20.0,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,42,50.0,58,51,56.5,62,23,25.0,27,32.6,132.8,233.0,1492.5,7901.0,30.0,0,6.6,23.45,40.3,38.03,38.04,38.05,63.16,0.08,0.08,0.08,19.05,0.0,0.01,0.02,2.98,3.51,4.05,10.004,14.332,11.718,11.72,11.723,15.992,0.0,0.0,0.0,927.0,1366.5,1806.0,48.0,170.0,292.0,4,4.0,4,16,16.0,16,4,16,3.98,6.49
5,1,,,,,,,100,52,55,26,38.6,2565,10801,30,0,39.9,54.2;55.6;58.8;58.5;56.9;57.5;72.2;69.6;58.4;59.7;70.7;72.0;43.7;45.8;3.2;3.7;28.4;36.4;2.4;3.1;16.1;17.1;6.8;5.3,38.05,0.08,0.01,3.0,11.723,0.0,244.0,1367.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,,,,,,,98,67,61,27,230.7,2745,10801,30,0,6.8,4.6;1.5;3.3;3.1;0.8;1.5;36.9;31.8;7.2;3.8;33.4;30.3;1.3;1.0;0.5;0.0;0.3;0.3;0.3;0.0;0.3;0.0;0.5;1.3,38.03,0.08,0.0,4.06,11.718,0.0,1123.0,1416.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
