epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,1,37,41,43,20.4,210,405,30,0,6.2,7.1;1.1;1.9;2.4;1.2;1.0;25.0;33.0;5.0;6.6;21.1;39.1;0.7;0.6;0.2;0.0;0.2;0.4;0.0;0.1;0.5;0.4;0.5;0.4,26.35,0.09,0.01,0.57,1.773,0.707,439.0,195.0,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,85,71,41,38,20.4,210,405,30,0,9.5,35.7;0.0;8.7;6.5;4.3;4.3;58.7;21.7;4.3;10.6;32.6;30.4;0.0;2.4;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,26.42,0.09,0.02,0.17,1.775,0.709,634.0,195.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,2.1015383118235245,0.409648273636657,2.3028626516120543,0.09789569990850869,0.00106667,40.8,,,,,,,,,,,,,,,,,,,,,,1,43.0,85,37,54.0,71,41,41.0,41,38,40.5,43,20.4,20.4,20.4,210.0,405.0,30.0,0,6.2,7.85,9.5,26.35,26.39,26.42,63.16,0.09,0.09,0.09,16.0,0.01,0.01,0.02,0.17,0.37,0.57,0.292,1.066,1.773,1.77,1.775,15.992,0.707,0.71,0.709,439.0,536.5,634.0,195.0,195.0,195.0,1,2.5,4,16,16.0,16,4,16,39.83,0.77
2,1,,,,,,,25,8,46,41,62.0,210,405,30,0,44.8,46.7;51.6;56.7;53.3;56.7;53.3;76.7;60.0;61.3;56.7;76.7;63.3;53.3;32.4;24.3;30.0;30.0;36.7;26.5;26.5;33.3;29.4;26.7;26.7,26.52,0.09,0.0,0.13,1.775,0.709,390.0,1708.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,11,4,46,32,62.0,210,405,30,0,8.8,25.8;7.4;14.8;18.5;7.4;3.7;28.6;17.9;11.1;7.4;42.9;21.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,26.53,0.09,0.0,0.0,1.784,0.718,439.0,683.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,1.7809625257981059,0.6732817037754114,2.0423104795750846,0.8243366880146387,0.00213333,0.8,,,,,,,,,,,,,,,,,,,,,,11,18.0,25,4,6.0,8,46,46.0,46,32,36.5,41,62.0,62.0,62.0,210.0,405.0,30.0,0,8.8,26.8,44.8,26.52,26.52,26.53,63.16,0.09,0.09,0.09,16.0,0.0,0.0,0.0,0.0,0.07,0.13,0.292,1.066,1.775,1.78,1.784,15.992,0.709,0.71,0.718,390.0,414.5,439.0,683.0,1195.5,1708.0,4,4.0,4,16,16.0,16,4,16,0.32,0.24
3,1,,,,,,,11,4,45,41,62.0,210,405,30,0,49.3,57.1;59.3;55.6;59.3;59.3;59.3;69.2;61.5;59.3;55.6;76.9;65.4;37.0;44.4;33.3;33.3;37.0;45.8;33.3;45.0;35.7;33.3;33.3;35.7,26.52,0.09,0.0,9.34,1.784,0.718,390.0,146.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,38,11,43,33,62.0,210,405,30,0,7.8,31.2;0.0;0.0;7.4;0.0;0.0;48.1;14.8;11.1;3.7;51.9;14.8;0.0;3.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,26.5,0.09,0.0,0.0,1.784,0.718,1025.0,439.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,1.1857969229665253,0.8109067441110035,0.6231485390924906,0.9624885635864593,0.00320000,0.8,,,,,,,,,,,,,,,,,,,,,,11,24.5,38,4,7.5,11,43,44.0,45,33,37.0,41,62.0,62.0,62.0,210.0,405.0,30.0,0,7.8,28.55,49.3,26.5,26.51,26.52,63.16,0.09,0.09,0.09,16.0,0.0,0.0,0.0,0.0,4.67,9.34,0.292,1.066,1.784,1.78,1.784,15.992,0.718,0.72,0.718,390.0,707.5,1025.0,146.0,292.5,439.0,4,4.0,4,16,16.0,16,4,16,0.3,0.24
4,1,,,,,,,8,2,44,40,62.0,210,405,30,0,51.9,66.7;51.7;64.3;60.7;60.7;58.6;67.9;71.4;60.7;57.1;64.3;71.4;46.4;39.3;32.1;47.6;44.4;48.0;32.0;32.1;35.7;48.0;42.3;35.7,26.54,0.09,0.03,0.11,1.784,0.718,439.0,1513.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
