epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,1,46,46,36,19.9,210,405,30,0,6.1,11.6;1.3;3.8;2.1;1.4;1.3;18.6;29.0;6.1;6.8;18.0;42.4;0.9;0.6;0.0;0.0;0.3;0.3;0.1;0.0;0.6;0.4;0.2;0.4,26.81,0.09,0.01,0.07,1.574,0.83,585.0,4394.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,59,20,54,33,84.7,2760,10801,30,0,11.8,31.6;4.1;6.4;8.5;6.4;2.1;54.2;31.2;16.3;14.9;45.8;29.8;4.3;2.2;1.9;0.0;2.1;2.4;0.0;0.0;6.2;2.2;2.1;2.1,26.87,0.09,0.21,0.02,1.703,0.83,390.0,195.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,2.3045034277781475,0.09567602452404002,2.2978582633054265,0.16285452881976212,0.00003200,41.3,,,,,,,,,,,,,,,,,,,,,,1,30.0,59,20,33.0,46,46,50.0,54,33,34.5,36,19.9,52.3,84.7,1485.0,5603.0,30.0,0,6.1,8.95,11.8,26.81,26.84,26.87,63.16,0.09,0.09,0.09,16.0,0.01,0.11,0.21,0.02,0.05,0.07,0.747,0.873,1.574,1.64,1.703,15.992,0.83,0.83,0.83,390.0,487.5,585.0,195.0,2294.5,4394.0,4,4.0,4,16,16.0,16,4,16,40.1,0.99
2,1,,,,,,,8,2,48,36,84.7,2760,10801,30,0,36.5,50.0;50.0;60.5;63.2;55.3;57.9;70.3;64.9;54.1;55.3;78.4;63.2;37.5;31.7;7.5;9.1;6.5;13.6;4.5;8.9;18.4;17.5;15.9;15.8,27.02,0.09,0.05,0.77,1.704,0.831,341.0,195.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,32,13,51,30,84.7,2760,10801,30,0,8.2,30.8;0.0;6.8;0.0;0.0;2.3;52.3;25.6;6.8;2.3;47.7;15.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,27.01,0.09,0.0,22.73,1.714,0.841,195.0,5957.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,2.3028085780705356,0.10067763794772508,2.297848646507717,0.16285452881976212,0.00006400,1.1,,,,,,,,,,,,,,,,,,,,,,8,20.0,32,2,7.5,13,48,49.5,51,30,33.0,36,84.7,84.7,84.7,2760.0,10801.0,30.0,0,8.2,22.35,36.5,27.01,27.02,27.02,63.16,0.09,0.09,0.09,16.0,0.0,0.03,0.05,0.77,11.75,22.73,0.747,0.873,1.704,1.71,1.714,15.992,0.831,0.84,0.841,195.0,268.0,341.0,195.0,3076.0,5957.0,4,4.0,4,16,16.0,16,4,16,0.32,0.53
3,1,,,,,,,24,6,50,36,84.7,2760,10801,30,0,38.5,59.5;50.0;61.1;58.3;58.3;52.8;72.2;67.6;61.1;62.2;72.2;63.9;35.1;40.5;5.4;8.1;13.5;18.9;10.8;8.1;16.2;13.5;10.8;8.1,26.99,0.09,0.0,0.03,1.714,0.841,341.0,292.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,59,21,53,29,91.7,2760,10801,30,0,11.3,50.0;0.0;8.9;6.8;6.8;2.3;54.5;18.2;11.4;11.4;29.5;43.2;2.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,27.01,0.09,0.0,14.63,1.714,0.841,146.0,1855.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,2.303041114427075,0.10116166505324298,2.29685678071967,0.16285452881976212,0.00009600,1.1,,,,,,,,,,,,,,,,,,,,,,24,41.5,59,6,13.5,21,50,51.5,53,29,32.5,36,84.7,88.2,91.7,2760.0,10801.0,30.0,0,11.3,24.9,38.5,26.99,27.0,27.01,63.16,0.09,0.09,0.09,16.0,0.0,0.0,0.0,0.03,7.33,14.63,0.747,0.873,1.714,1.71,1.714,15.992,0.841,0.84,0.841,146.0,243.5,341.0,292.0,1073.5,1855.0,4,4.0,4,16,16.0,16,4,16,0.33,0.54
4,1,,,,,,,12,3,49,35,91.7,2760,10801,30,0,38.3,55.3;58.3;52.8;58.3;61.1;59.5;69.4;66.7;63.9;61.1;69.4;50.0;36.1;30.2;15.0;11.4;18.6;20.5;4.7;6.8;16.7;18.9;25.6;21.6,27.01,0.09,0.0,0.27,1.714,0.841,341.0,292.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,,,,,,,32,13,52,31,91.7,2760,10801,30,0,9.2,47.3;0.0;4.7;0.0;0.0;2.4;44.2;23.3;7.0;4.7;47.7;25.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,26.99,0.09,0.0,14.89,1.714,0.841,390.0,1855.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
