epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,99,90,40,39,20.6,315,405,30,0,13.1,15.8;11.8;13.9;13.8;12.0;12.0;35.1;41.7;16.5;17.5;33.2;42.7;9.4;9.9;0.9;0.7;5.6;7.9;2.2;2.2;2.7;3.6;1.5;1.8,37.89,0.11,0.0,0.78,8.819,0.0,5664.0,244.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,98,52,47,39,170.5,2760,10801,30,0,7.2,5.4;1.4;4.8;2.0;0.0;2.1;37.7;30.1;4.8;6.8;29.5;39.7;0.0;2.8;0.0;0.7;0.0;0.0;0.0;0.0;3.4;2.1;0.0;0.0,37.79,0.11,0.01,0.08,8.828,0.0,1025.0,390.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,1.1120715102702463,0.3329502874814965,1.135140299797058,0.17495519713261648,0.00064000,58.2,,,,,,,,,,,,,,,,,,,,,,98,98.5,99,52,71.0,90,40,43.5,47,39,39.0,39,20.6,95.55,170.5,1537.5,5603.0,30.0,0,7.2,10.15,13.1,37.79,37.84,37.89,63.16,0.11,0.11,0.11,16.0,0.0,0.01,0.01,0.08,0.43,0.78,7.9,15.012,8.819,8.82,8.828,15.992,0.0,0.0,0.0,1025.0,3344.5,5664.0,244.0,317.0,390.0,4,4.0,4,16,16.0,16,4,16,54.56,2.64
2,1,,,,,,,100,82,40,42,22.4,330,405,30,0,58.7,81.8;82.9;88.6;89.6;86.7;86.5;91.7;94.3;87.0;89.8;93.1;94.3;69.1;72.8;8.0;7.2;38.2;60.6;7.0;6.9;22.8;22.9;13.7;12.5,38.05,0.11,0.02,0.12,8.819,0.0,390.0,1513.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,100,68,49,35,172.5,2760,10801,30,0,7.5,7.2;2.9;2.9;1.5;1.5;0.7;31.9;25.4;6.6;13.1;31.9;32.6;0.0;1.5;8.8;5.1;0.0;0.0;0.0;0.0;1.5;2.2;0.7;0.0,38.09,0.11,0.0,0.11,8.828,0.0,146.0,1904.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,1.1041095869385575,0.344254410776269,1.1354117393493652,0.17495519713261648,0.00128000,16.1,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,68,75.0,82,40,44.5,49,35,38.5,42,22.4,97.45,172.5,1545.0,5603.0,30.0,0,7.5,33.1,58.7,38.05,38.07,38.09,63.16,0.11,0.11,0.11,16.0,0.0,0.01,0.02,0.11,0.11,0.12,7.9,15.012,8.819,8.82,8.828,15.992,0.0,0.0,0.0,146.0,268.0,390.0,1513.0,1708.5,1904.0,4,4.0,4,16,16.0,16,4,16,12.61,2.45
3,1,,,,,,,100,83,40,42,23.6,270,405,30,0,57.6,79.9;76.9;88.0;88.4;85.3;85.9;91.1;95.2;85.6;88.7;93.8;90.8;65.8;68.3;8.5;8.0;40.9;57.7;4.6;3.8;25.8;22.9;14.2;11.4,38.08,0.11,0.0,0.09,8.819,0.0,390.0,1464.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,100,64,49,35,173.1,2760,10801,30,0,6.0,2.9;0.7;2.9;0.7;2.2;0.0;29.4;21.9;2.9;3.6;61.8;12.4;0.7;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.0,38.09,0.11,0.0,0.07,8.828,0.0,1464.0,1562.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,1.0889879073324886,0.3816201065563915,1.1346237659454346,0.1789874551971326,0.00192000,16.0,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,64,73.5,83,40,44.5,49,35,38.5,42,23.6,98.35,173.1,1515.0,5603.0,30.0,0,6.0,31.8,57.6,38.08,38.09,38.09,63.16,0.11,0.11,0.11,16.0,0.0,0.0,0.0,0.07,0.08,0.09,7.9,15.012,8.819,8.82,8.828,15.992,0.0,0.0,0.0,390.0,927.0,1464.0,1464.0,1513.0,1562.0,4,4.0,4,16,16.0,16,4,16,12.57,2.42
4,1,,,,,,,100,71,39,42,13.3,210,405,30,0,61.1,83.4;81.9;90.8;92.5;90.0;89.5;95.1;93.6;90.7;92.5;93.3;98.7;71.6;74.9;10.2;9.6;48.4;59.5;6.5;6.2;27.2;28.4;18.6;13.5,38.63,0.11,0.06,0.36,8.819,0.0,244.0,2636.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
